rooms,area,pop,pop_dens,frg_pct,emp,tax_income,room_per_m2,luxurious,temporary,furnished,area_cat_ecoded,zurich_city,neubau,recidual (error),price,predicted_price,description_raw,bfs_name,postalcode,town
2.0,54,29944,10008.0,32.4584678868,491193.0,85446,27.0,0,0,0,2.0,1,0,903.8200000000002,4853,3949.18,«2 Bedroom Apartment Senior Balcony»,Zürich,8004, Zürich
2.0,49,50950,5792.0,32.4584678868,491193.0,85446,24.5,0,0,0,0.0,1,0,1016.7466666666669,4335,3318.253333333333,«2 Bedroom Apartment Junior Terrace»,Zürich,8003, Zürich
3.0,76,50950,5792.0,32.4584678868,491193.0,85446,25.33,0,0,0,2.0,1,0,892.8299999999999,1970,2862.83,«3- Zimmerwohnung im Kreis 3 direkt beim Goldbrunnenplatz»,Zürich,8003, Zürich
2.5,65,41411,4512.0,32.4584678868,491193.0,85446,26.0,0,0,0,2.0,1,0,909.0916666666672,5900,4990.908333333333,«Serviced 1-bedroom with great view and luxurious interior design»,Zürich,8037, Zürich
2.5,75,41411,4512.0,32.4584678868,491193.0,85446,30.0,0,0,0,2.0,1,0,1005.4499999999998,6900,5894.55,"«""Serviced 1-bedroom apartment: spectacular view & luxurious interior»",Zürich,8037, Zürich
3.5,90,41411,4512.0,32.4584678868,491193.0,85446,25.71,0,1,0,2.0,1,0,912.935,1750,2662.935,«BEFRISTETES WOHNEN BIS 31. MÄRZ 2024»,Zürich,8049, Zürich
2.5,70,78801,5736.0,32.4584678868,491193.0,85446,28.0,0,0,0,2.0,1,0,1571.0200000000004,5900,4328.98,«Spacious apartment with spectacular view and luxururious design»,Zürich,8057, Zürich
3.5,126,37639,3254.0,32.4584678868,491193.0,85446,36.0,0,0,0,1.0,1,0,1278.29,6575,5296.71,«Live Above - Exklusive Mietwohnung über dem FIFA World Football Museum»,Zürich,8002, Zürich
2.5,70,39647,2574.0,32.4584678868,491193.0,85446,28.0,0,0,0,2.0,1,0,824.043333333334,5900,5075.956666666666,"«""Wohnoase im Englisch Viertel - Serviced Apartment in Jugendstil-Villa»",Zürich,8032, Zürich
4.5,137,39647,2574.0,32.4584678868,491193.0,85446,30.44,0,0,0,1.0,1,0,1603.2066666666665,875,2478.2066666666665,«HISTORISCH MIT PRIVATER SONNENTERRASSE IM ZENTRUM»,Zürich,8001, Zürich
5.5,200,113173,1662.5973262818,24.535003932,73339.0,70966,36.36,0,0,0,1.0,0,0,940.6199999999999,5600,4659.38,"«RUHIG UND SONNIG, MIT WUNDERSCHÖNER AUSSICHT»",Winterthur,8404, Winterthur
3.5,130,18139,3298.0,29.0313688737,6582.0,113194,37.14,0,0,0,1.0,0,0,1290.8100000000004,6490,5199.19,«Weitblick im neu renovierten 2-Schlafzimmer-Serviced Apartment»,Thalwil,8800, Thalwil
3.5,100,13067,1664.5859872612,26.0580087243,5764.0,171602,28.57,0,0,0,2.0,0,0,800.1899999999996,5550,4749.81,«3 1/2-Zimmer-Wohnung mit Seesicht»,Zollikon,8702, Zollikon
4.5,101,35007,1228.7469287469,23.0096837775,17237.0,79839,22.44,0,0,0,1.0,0,0,856.7301666666663,3210,2353.2698333333337,«Helle und moderne Maisonette-Wohnung mit Galerie»,Uster,8610, Uster
